major,course,related
Corrections Administration,"[u'Accounting', u'Applied Psychology', u'Communications', u'Correction Principles', u'Facilities Planning and Management', u'Health Services', u'Management', u'Security', u'Social Services']","[u'Law Enforcement Investigation and Interviewing', u'Law Enforcement Record-Keeping and Evidence Management', u'Securities Services Administration/Management']"
Criminal Justice/Law Enforcement Administration,"[u'Budgeting', u'Ethics', u'History', u'Law', u'Leadership', u'Management', u'Public Administration', u'Public Relations', u'Sociology']","[u'Corrections', u'Criminal Justice and Corrections', u'Criminal Justice/Police Science', u'Criminal Justice/Safety Studies', u'Criminalistics and Criminal Science', u'Forensic Science and Technology', u'Homeland Security, Law Enforcement, Firefighting and Related Protective Services', u'Juvenile Corrections', u'Security and Loss Prevention Services']"
Criminal Justice/Police Science,"[u'Crime Prevention', u'Investigating Techniques', u'Management', u'Public Relations', u'Sociology']","[u'Corrections', u'Criminal Justice and Corrections', u'Criminal Justice/Law Enforcement Administration', u'Criminal Justice/Safety Studies', u'Criminalistics and Criminal Science', u'Forensic Science and Technology', u'Homeland Security, Law Enforcement, Firefighting and Related Protective Services', u'Juvenile Corrections', u'Security and Loss Prevention Services']"
Criminal Justice/Safety Studies,"[u'Criminal Policy', u'Law', u'Sociology']","[u'Corrections', u'Criminal Justice and Corrections', u'Criminal Justice/Law Enforcement Administration', u'Criminal Justice/Police Science', u'Criminalistics and Criminal Science', u'Forensic Science and Technology', u'Homeland Security, Law Enforcement, Firefighting and Related Protective Services', u'Juvenile Corrections', u'Security and Loss Prevention Services']"
Criminalistics and Criminal Science,"[u'Computer Applications', u'Criminology', u'Investigative Techniques', u'Police Science', u'Sociology']","[u'Corrections', u'Criminal Justice and Corrections', u'Criminal Justice/Law Enforcement Administration', u'Criminal Justice/Police Science', u'Criminal Justice/Safety Studies', u'Forensic Science and Technology', u'Homeland Security, Law Enforcement, Firefighting and Related Protective Services', u'Juvenile Corrections', u'Security and Loss Prevention Services']"
Critical Incident Response/Special Police Operations,"[u'Communications', u'Crisis Management', u'Law', u'Negotiation Skills', u'Psychology', u'Public Relations']",[u'Law Enforcement Intelligence Analysis']
Cultural/Archaelogical Resources Protection,"[u'Archaeology', u'Law', u'Management']","[u'Fire Protection', u'Maritime Law Enforcement', u'Protective Services Operations', u'Suspension and Debarment Investigation']"
Cyber/Computer Forensics and Counterterrorism,"[u'Computer Networks', u'Computer Programming', u'Computer Science', u'Cyberterrorism', u'Law']","[u'Corrections', u'Corrections Administration', u'Criminal Justice and Corrections', u'Criminal Justice/Law Enforcement Administration', u'Criminal Justice/Police Science', u'Criminal Justice/Safety Studies', u'Criminalistics and Criminal Science', u'Critical Incident Response/Special Police Operations', u'Cultural/Archaelogical Resources Protection', u'Financial Forensics and Fraud Investigation', u'Forensic Science and Technology', u'Juvenile Corrections', u'Law Enforcement Intelligence Analysis', u'Law Enforcement Investigation and Interviewing', u'Law Enforcement Record-Keeping and Evidence Management', u'Maritime Law Enforcement', u'Protective Services Operations', u'Securities Services Administration/Management', u'Security and Loss Prevention Services', u'Suspension and Debarment Investigation']"
Financial Forensics and Fraud Investigation,"[u'Accounting', u'Auditing', u'Derivatives', u'Economics', u'Finance', u'International Banking', u'Investment Management', u'Taxation']","[u'Corrections', u'Corrections Administration', u'Criminal Justice and Corrections', u'Criminal Justice/Law Enforcement Administration', u'Criminal Justice/Police Science', u'Criminal Justice/Safety Studies', u'Criminalistics and Criminal Science', u'Critical Incident Response/Special Police Operations', u'Cultural/Archaelogical Resources Protection', u'Cyber/Computer Forensics and Counterterrorism', u'Forensic Science and Technology', u'Juvenile Corrections', u'Law Enforcement Intelligence Analysis', u'Law Enforcement Investigation and Interviewing', u'Law Enforcement Record-Keeping and Evidence Management', u'Maritime Law Enforcement', u'Protective Services Operations', u'Securities Services Administration/Management', u'Security and Loss Prevention Services', u'Suspension and Debarment Investigation']"
Forensic Science and Technology,"[u'Clinical Laboratory Practices', u'Constitutional Law', u'Court Procedure', u'Criminal Evidence', u'Criminal Procedure', u'Criminology', u'Forensic Serology', u'Investigation and Identification', u'Molecular Genetics', u'Principles of Chemistry', u'Report Writing and Research', u'Research Statistics']","[u'Corrections', u'Criminal Justice and Corrections', u'Criminal Justice/Law Enforcement Administration', u'Criminal Justice/Police Science', u'Criminal Justice/Safety Studies', u'Criminalistics and Criminal Science', u'Homeland Security, Law Enforcement, Firefighting and Related Protective Services', u'Juvenile Corrections', u'Security and Loss Prevention Services']"
Juvenile Corrections,"[u'Computer Applications', u'Counseling', u'Criminal Justice', u'Criminal Law', u'Criminology', u'Psychology', u'Public Speaking', u'Sociology']","[u'Corrections', u'Criminal Justice and Corrections', u'Criminal Justice/Law Enforcement Administration', u'Criminal Justice/Police Science', u'Criminal Justice/Safety Studies', u'Criminalistics and Criminal Science', u'Forensic Science and Technology', u'Homeland Security, Law Enforcement, Firefighting and Related Protective Services', u'Security and Loss Prevention Services']"
Law Enforcement Intelligence Analysis,"[u'Criminal Justice', u'Criminal Law', u'Criminology', u'Research Methods', u'World Politics']",[u'Critical Incident Response/Special Police Operations']
Law Enforcement Investigation and Interviewing,"[u'Criminal Justice', u'Criminal Law', u'Criminology', u'Forensic Psychology', u'Research Methods']","[u'Corrections Administration', u'Law Enforcement Record-Keeping and Evidence Management', u'Securities Services Administration/Management']"
Law Enforcement Record-Keeping and Evidence Management,"[u'Computer Applications', u'Computer Software', u'Criminal Justice', u'Criminal Law', u'Criminology', u'Research Methods']","[u'Corrections Administration', u'Law Enforcement Investigation and Interviewing', u'Securities Services Administration/Management']"
Maritime Law Enforcement,"[u'Investigative Techniques', u'Law', u'Meteorology', u'Safety', u'Seamanship']","[u'Cultural/Archaelogical Resources Protection', u'Fire Protection', u'Protective Services Operations', u'Suspension and Debarment Investigation']"
Protective Services Operations,[],"[u'Cultural/Archaelogical Resources Protection', u'Fire Protection', u'Maritime Law Enforcement', u'Suspension and Debarment Investigation']"
Securities Services Administration/Management,[],"[u'Corrections Administration', u'Law Enforcement Investigation and Interviewing', u'Law Enforcement Record-Keeping and Evidence Management']"
Security and Loss Prevention Services,[],"[u'Corrections', u'Criminal Justice and Corrections', u'Criminal Justice/Law Enforcement Administration', u'Criminal Justice/Police Science', u'Criminal Justice/Safety Studies', u'Criminalistics and Criminal Science', u'Forensic Science and Technology', u'Homeland Security, Law Enforcement, Firefighting and Related Protective Services', u'Juvenile Corrections']"
Suspension and Debarment Investigation,[],"[u'Cultural/Archaelogical Resources Protection', u'Fire Protection', u'Maritime Law Enforcement', u'Protective Services Operations']"
Fire Prevention and Safety Technology/Technician,"[u'Communications', u'Evacuation Planning', u'Fire Prevention', u'Law', u'Public Education', u'Risk Management', u'Smoke Management']","[u'Fire Protection', u'Fire Science/Fire-fighting', u'Fire Services Administration', u'Fire Systems Technology', u'Fire/Arson Investigation and Prevention', u'Wildland/Forest Firefighting and Investigation']"
Fire Science/Fire-fighting,"[u'Chemistry', u'Communications', u'Computer Science', u'Emergency Medicine', u'Equipment Operation', u'Fire Hydraulics', u'Management', u'Physics', u'Safety']",[u'Fire Systems Technology']
Fire Services Administration,"[u'Budgeting', u'Emergency Medical Procedures', u'Fire Response Strategies', u'History', u'Labor Relations', u'Law', u'Management', u'Public Relations']","[u'Fire Prevention and Safety Technology/Technician', u'Fire Protection', u'Fire Science/Fire-fighting', u'Fire Systems Technology', u'Fire/Arson Investigation and Prevention', u'Wildland/Forest Firefighting and Investigation']"
Fire Systems Technology,"[u'Budgeting', u'Emergency Medical Procedures', u'Fire Response Strategies', u'History', u'Labor Relations', u'Law', u'Management', u'Public Relations']",[u'Fire Science/Fire-fighting']
Fire/Arson Investigation and Prevention,"[u'Appied Chemistry', u'Combustion', u'Fire Analysis', u'Fire Dynamics', u'Forensic Procedures', u'Human Behavior', u'Investigative Techniques', u'Management']","[u'Homeland Security', u'Wildland/Forest Firefighting and Investigation']"
Wildland/Forest Firefighting and Investigation,[],"[u'Fire/Arson Investigation and Prevention', u'Homeland Security']"
Crisis/Emergency/Disaster Management,"[u'Ethics', u'Law', u'Medical Operations', u'Public Relations', u'Risk Assessment']","[u'Critical Infrastructure Protection', u'Terrorism and Counterterrorism Operations']"
Critical Infrastructure Protection,"[u'Emergency Planning', u'Information Security', u'Operational Security', u'Security Policies', u'Threat Assessment']","[u'Crisis/Emergency/Disaster Management', u'Terrorism and Counterterrorism Operations']"
Homeland Security,"[u'Bio Terrorism', u'Communications', u'Constitutional Law', u'Criminal Justice', u'Cyber-Terrorism', u'Disaster Response', u'Emergency Planning', u'International Terrorism', u'Public Relations', u'Sociology']","[u'Fire/Arson Investigation and Prevention', u'Wildland/Forest Firefighting and Investigation']"
Terrorism and Counterterrorism Operations,[],"[u'Crisis/Emergency/Disaster Management', u'Critical Infrastructure Protection']"
Community Organization and Advocacy,[u'Public Relations'],"[u'Public Administration', u'Public Administration and Social Service Professions', u'Public Policy Analysis']"
Public Administration,"[u' Administration', u'\r\nPublic and Non-Profit Budgeting', u'Constitutional Foundations of Diplomacy', u'Environmental Problems', u'Government Organization', u'Intermediate Decision Making', u'Issues in Public Administration', u'Legislative Process', u'Management Science', u'Policy Formulation', u'Policy Implementation', u'Public Administration', u'Science / Technology / Public Policy']","[u'Community Organization and Advocacy', u'Public Administration and Social Service Professions', u'Public Policy Analysis']"
Education Policy Analysis,"[u'Economics', u'Education', u'Education Policy', u'History', u'Psychology', u'Sociology']","[u'Health Policy Analysis', u'International Policy Analysis', u'Social Sciences', u'Social Work', u'Youth Services/Administration']"
Health Policy Analysis,"[u'Economics', u'Epidemiology', u'Organization Theory', u'Political Science', u'Research Design', u'Research Methods']","[u'Education Policy Analysis', u'International Policy Analysis', u'Social Sciences', u'Social Work', u'Youth Services/Administration']"
International Policy Analysis,"[u'Economics', u'Foreign Policy', u'International Relations', u'Political Economy', u'World Affairs']","[u'Education Policy Analysis', u'Health Policy Analysis', u'Social Sciences', u'Social Work', u'Youth Services/Administration']"
Public Policy Analysis,[],"[u'Education Policy Analysis', u'Health Policy Analysis', u'International Policy Analysis', u'Social Sciences', u'Social Work', u'Youth Services/Administration']"
Social Work,"[u'Alcohol and Drug Addictions', u'Behavior and the Social Environment', u'Child Welfare', u'Contemporary Gender Issues', u'Development of the Social Welfare System', u'Human Diversity', u'Introduction to Helping Professions', u'Introduction to Non Verbal Therapies', u'Sexual Issues for the Helping Individual', u'Social Welfare Policy', u'Social Work with Families & Groups', u'Social Work with Individuals', u'The Field of Social Work']","[u'Education Policy Analysis', u'Health Policy Analysis', u'International Policy Analysis', u'Social Sciences', u'Youth Services/Administration']"
Youth Services/Administration,[],"[u'Education Policy Analysis', u'Health Policy Analysis', u'International Policy Analysis', u'Social Sciences', u'Social Work']"
Pre-Law Studies,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Law,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Advanced Legal Research/Studies,"[u'English', u'Writing']","[u'American/US Law/Legal Studies/Jurisprudence', u'Banking, Corporate, Finance, and Securities Law', u'Canadian Law/Legal Studies/Jurisprudence', u'Comparative Law', u'Energy, Environment, and Natural Resources Law', u'Health Law', u'Intellectual Property Law', u'International Business, Trade, and Tax Law', u'International Law and Legal Studies', u'Legal Research and Advanced Professional Studies', u'Programs for Foreign Lawyers', u'Tax Law/Taxation']"
American/US Law/Legal Studies/Jurisprudence,"[u'English', u'Linguistics', u'Literature', u'Poliics', u'Sociology ']","[u'Banking, Corporate, Finance, and Securities Law', u'Canadian Law/Legal Studies/Jurisprudence', u'Comparative Law', u'Energy, Environment, and Natural Resources Law', u'Health Law', u'Intellectual Property Law', u'International Business, Trade, and Tax Law', u'International Law and Legal Studies', u'Legal Research and Advanced Professional Studies', u'Programs for Foreign Lawyers', u'Tax Law/Taxation']"
"Banking, Corporate, Finance, and Securities Law","[u'Business', u'Economics', u'Ethics', u'Finance', u'Law', u'Management', u'Public Relations']","[u'American/US Law/Legal Studies/Jurisprudence', u'Canadian Law/Legal Studies/Jurisprudence', u'Comparative Law', u'Energy, Environment, and Natural Resources Law', u'Health Law', u'Intellectual Property Law', u'International Business, Trade, and Tax Law', u'International Law and Legal Studies', u'Legal Research and Advanced Professional Studies', u'Programs for Foreign Lawyers', u'Tax Law/Taxation']"
Canadian Law/Legal Studies/Jurisprudence,"[u'Business', u'Economics', u'History', u'Law', u'Politics', u'Sociology']","[u'American/US Law/Legal Studies/Jurisprudence', u'Banking, Corporate, Finance, and Securities Law', u'Comparative Law', u'Energy, Environment, and Natural Resources Law', u'Health Law', u'Intellectual Property Law', u'International Business, Trade, and Tax Law', u'International Law and Legal Studies', u'Legal Research and Advanced Professional Studies', u'Programs for Foreign Lawyers', u'Tax Law/Taxation']"
Comparative Law,"[u'Business Principles', u'Ethics', u'Finance', u'Law', u'Taxation']","[u'American/US Law/Legal Studies/Jurisprudence', u'Banking, Corporate, Finance, and Securities Law', u'Canadian Law/Legal Studies/Jurisprudence', u'Energy, Environment, and Natural Resources Law', u'Health Law', u'Intellectual Property Law', u'International Business, Trade, and Tax Law', u'International Law and Legal Studies', u'Legal Research and Advanced Professional Studies', u'Programs for Foreign Lawyers', u'Tax Law/Taxation']"
"Energy, Environment, and Natural Resources Law","[u'Energy Law', u'Mining Law', u'Water Law', u'Wildlife Law']","[u'American/US Law/Legal Studies/Jurisprudence', u'Banking, Corporate, Finance, and Securities Law', u'Canadian Law/Legal Studies/Jurisprudence', u'Comparative Law', u'Health Law', u'Intellectual Property Law', u'International Business, Trade, and Tax Law', u'International Law and Legal Studies', u'Legal Research and Advanced Professional Studies', u'Programs for Foreign Lawyers', u'Tax Law/Taxation']"
Health Law,"[u'Bioethics', u'Finance', u'Law']","[u'American/US Law/Legal Studies/Jurisprudence', u'Banking, Corporate, Finance, and Securities Law', u'Canadian Law/Legal Studies/Jurisprudence', u'Comparative Law', u'Energy, Environment, and Natural Resources Law', u'Intellectual Property Law', u'International Business, Trade, and Tax Law', u'International Law and Legal Studies', u'Legal Research and Advanced Professional Studies', u'Programs for Foreign Lawyers', u'Tax Law/Taxation']"
Intellectual Property Law,"[u'Entertainment Law', u'Intellectual Property', u'Patent Application', u'Trademark Law']","[u'Court Reporting/Court Reporter', u'English Language and Literature/letters', u'Legal Administrative Assistant/Secretary', u'Legal Assistant/Paralegal', u'Legal Support Services', u'Rhetoric and Composition/Writing Studies']"
"International Business, Trade, and Tax Law","[u'Business Law', u'Ethics', u'International Law', u'Tax Law', u'Trade Law']","[u'American/US Law/Legal Studies/Jurisprudence', u'Banking, Corporate, Finance, and Securities Law', u'Canadian Law/Legal Studies/Jurisprudence', u'Comparative Law', u'Energy, Environment, and Natural Resources Law', u'Health Law', u'Intellectual Property Law', u'International Law and Legal Studies', u'Legal Research and Advanced Professional Studies', u'Programs for Foreign Lawyers', u'Tax Law/Taxation']"
International Law and Legal Studies,"[u'Business Law', u'Environmental Law', u'Free Trade', u'Gender and Law', u'Human Rights Law']","[u'American/US Law/Legal Studies/Jurisprudence', u'Banking, Corporate, Finance, and Securities Law', u'Canadian Law/Legal Studies/Jurisprudence', u'Comparative Law', u'Energy, Environment, and Natural Resources Law', u'Health Law', u'Intellectual Property Law', u'International Business, Trade, and Tax Law', u'Legal Research and Advanced Professional Studies', u'Programs for Foreign Lawyers', u'Tax Law/Taxation']"
Programs for Foreign Lawyers,[],"[u'American/US Law/Legal Studies/Jurisprudence', u'Banking, Corporate, Finance, and Securities Law', u'Canadian Law/Legal Studies/Jurisprudence', u'Comparative Law', u'Energy, Environment, and Natural Resources Law', u'Health Law', u'Intellectual Property Law', u'International Business, Trade, and Tax Law', u'International Law and Legal Studies', u'Legal Research and Advanced Professional Studies', u'Tax Law/Taxation']"
Tax Law/Taxation,[],"[u'American/US Law/Legal Studies/Jurisprudence', u'Banking, Corporate, Finance, and Securities Law', u'Canadian Law/Legal Studies/Jurisprudence', u'Comparative Law', u'Energy, Environment, and Natural Resources Law', u'Health Law', u'Intellectual Property Law', u'International Business, Trade, and Tax Law', u'International Law and Legal Studies', u'Legal Research and Advanced Professional Studies', u'Programs for Foreign Lawyers']"
Court Reporting/Court Reporter,"[u'Equipment Operation', u'Ethics', u'Legal Terminology', u'Legal Transcription', u'Shorthand']","[u'English Language and Literature/letters', u'Intellectual Property Law', u'Legal Administrative Assistant/Secretary', u'Legal Assistant/Paralegal', u'Legal Support Services', u'Rhetoric and Composition/Writing Studies']"
Legal Administrative Assistant/Secretary,"[u'Legal Documents', u'Legal Terminology', u'Record Keeping', u'Word Processing']","[u'Court Reporting/Court Reporter', u'English Language and Literature/letters', u'Intellectual Property Law', u'Legal Assistant/Paralegal', u'Legal Support Services', u'Rhetoric and Composition/Writing Studies']"
Legal Assistant/Paralegal,"[u'Legal Documents', u'Legal Terminology', u'Record Keeping', u'Word Processing']","[u'Court Reporting/Court Reporter', u'English Language and Literature/letters', u'Intellectual Property Law', u'Legal Administrative Assistant/Secretary', u'Legal Support Services', u'Rhetoric and Composition/Writing Studies']"
General Studies,[],"[u'Humanities/Humanistic Studies', u'Library Science', u'Library Science and Administration']"
Humanities/Humanistic Studies,"[u'Ancient History', u'Biblical Studies', u'Ethnic Diversity', u'Religious Studies', u'Western Culture', u'World Civilizations']","[u'General Studies', u'Library Science', u'Library Science and Administration']"
Liberal Arts and Sciences/Liberal Studies,"[u'Art', u'Foreign Languages', u'History', u'Literature', u'Music', u'Philosophy']","[u'Liberal Arts and Sciences, General Studies and Humanities']"
Library and Archives Assisting,"[u'Computer Applications', u'Library Cataloging', u'Library Services', u'Management']","[u'Biochemistry', u'Biochemistry and Molecular Biology', u'Biochemistry, Biophysics and Molecular Biology', u'Biological and Biomedical Sciences', u'Biophysics', u'Molecular Biochemistry', u'Molecular Biology', u'Molecular Biophysics', u'Photobiology', u'Radiation Biology/Radiobiology', u'Structural Biology']"
Archives/Archival Administration,"[u'Anthropology', u'Finance', u'Geography', u'History', u'Management', u'Political Science']",[u'Library and Archives Assisting']
Children and Youth Library Services,"[u'Information Technology', u'Management']","[u'Archives/Archival Administration', u'Library and Information Science', u'Library Science and Administration']"
Library and Information Science,"[u'Computer Applications', u'Library Cataloging', u'Library Services', u'Management']","[u'Archives/Archival Administration', u'Children and Youth Library Services', u'Library Science and Administration']"
Applied Mathematics,"[u'Differential Equations', u'Engineering Computation', u'Mathematics', u'Neuroscience']","[u'Computational and Applied Mathematics', u'Computational Mathematics']"
Computational and Applied Mathematics,"[u'Computer Modeling', u'Computer Science', u'Mathematics', u'Statistics']",[u'Computational Mathematics']
Computational Mathematics,"[u'Algorithm Development', u'Binary Structures', u'Computer Design', u'Mathematics', u'Numerical Analysis', u'Statistics']",[u'Computational and Applied Mathematics']
Financial Mathematics,"[u'Accounting', u'Auditing', u'Derivatives', u'Economics', u'Finance', u'Probabiliy Theory', u'Statistical Analysis', u'Taxation']","[u'Mathematical Biology', u'Mathematical Statistics and Probability', u'Mathematics and Statistics', u'Statistics']"
Mathematical Biology,"[u'Biology', u'Ecology', u'Genomics', u'Mathematics', u'Molecular Modeling', u'Neurobiology', u'Physiology']","[u'Financial Mathematics', u'Mathematical Statistics and Probability', u'Mathematics and Statistics', u'Statistics']"
Algebra and Number Theory,"[u'Calculus', u'Differential Equations', u'Geometry', u'Linear Algebra', u'Mathematics', u'Vector Calculus']","[u'Analysis and Functional Analysis', u'Applied Mathematics', u'Geometry/Geometric Analysis', u'Mathematics', u'Mathematics and Statistics', u'Topology and Foundations']"
Analysis and Functional Analysis,"[u'Fluid Dynamics', u'Fusion', u'Mathematics', u'Physics', u'Statistics']","[u'Algebra and Number Theory', u'Applied Mathematics', u'Geometry/Geometric Analysis', u'Mathematics', u'Mathematics and Statistics', u'Topology and Foundations']"
Geometry/Geometric Analysis,"[u'Algebra', u'Differential Equations', u'Linear Analysis', u'Topology']","[u'Algebra and Number Theory', u'Analysis and Functional Analysis', u'Applied Mathematics', u'Mathematics', u'Mathematics and Statistics', u'Topology and Foundations']"
Mathematics,"[u'\r\nDifferential Equations', u'Calculus', u'Complex Variables\r\n\t\r\n\t\r\n\r\n', u'Foundations of Math', u'Linear Algebra', u'Math Structure for Computer Science', u'Modern Geometry', u'Probability and Statistics', u'Real Analysis', u'Research in Mathematics']","[u'Algebra and Number Theory', u'Analysis and Functional Analysis', u'Applied Mathematics', u'Geometry/Geometric Analysis', u'Mathematics', u'Mathematics and Statistics', u'Topology and Foundations', u'Algebra and Number Theory', u'Analysis and Functional Analysis', u'Applied Mathematics', u'Geometry/Geometric Analysis', u'Mathematics', u'Mathematics and Statistics', u'Topology and Foundations']"
Topology and Foundations,[],"[u'Algebra and Number Theory', u'Analysis and Functional Analysis', u'Applied Mathematics', u'Geometry/Geometric Analysis', u'Mathematics', u'Mathematics and Statistics']"
Mathematical Statistics and Probability,"[u'Algebra', u'Calculus', u'Statistical Methods', u'Statistics']","[u'Financial Mathematics', u'Mathematical Biology', u'Mathematics and Statistics', u'Statistics']"
Mathematics and Statistics,"[u'Algebra', u'Calculus', u'Statistical Methods', u'Statistics']","[u'Financial Mathematics', u'Mathematical Biology', u'Mathematical Statistics and Probability', u'Statistics']"
Statistics,"[u'Computer Applications', u'Education', u'Research Design', u'Research Methods', u'Statistics']","[u'Educational Assessment, Evaluation, and Research', u'Educational Assessment, Testing, and Measurement', u'Educational Evaluation and Research', u'Educational/Instructional Technology']"
Appliance Installation and Repair Technology/Technician,"[u'Applied Engineering', u'Applied Sciences', u'Mathematics']","[u'Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)', u'Security System Installation, Repair, and Inspection Technology/Technician']"
Business Machine Repair,"[u'Applied Engineering', u'Applied Sciences', u'Mathematics']","[u'Communications Systems Installation and Repair Technology', u'Computer Installation and Repair Technology/Technician', u'Industrial Electronics Technology/Technician']"
Communications Systems Installation and Repair Technology,"[u'Applied Engineering', u'Applied Mathematics', u'Applied Mechanics']","[u'Business Machine Repair', u'Computer Installation and Repair Technology/Technician', u'Industrial Electronics Technology/Technician']"
Computer Installation and Repair Technology/Technician,"[u'Computer Engineering', u'Computer Programming', u'Mathematics']","[u'Business Machine Repair', u'Communications Systems Installation and Repair Technology', u'Industrial Electronics Technology/Technician']"
Electrical/Electronics Equipment Installation and Repair,"[u'Applied Mathematics', u'Digital Communications', u'Electrical Networks', u'Semiconductor Devices']","[u'Business Machine Repair', u'Communications Systems Installation and Repair Technology', u'Computer Installation and Repair Technology/Technician', u'Industrial Electronics Technology/Technician']"
Industrial Electronics Technology/Technician,"[u'Algebra', u'CAD', u'Circuit Analysis', u'Computer Concepts', u'Physics']","[u'Business Machine Repair', u'Communications Systems Installation and Repair Technology', u'Computer Installation and Repair Technology/Technician']"
"Security System Installation, Repair, and Inspection Technology/Technician",[],"[u'Appliance Installation and Repair Technology/Technician', u'Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)']"
"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician","[u'Computer Applications', u'Mechanical Systems', u'Physics', u'Public Speaking', u'Refrigeration Principles', u'Technical Math', u'Technical Writing']",[u'Heavy/Industrial Equipment Maintenance Technologies']
Heavy Equipment Maintenance Technology/Technician,"[u'Applied Mathematics', u'Fuel Systems', u'Hydraulics', u'Physical Sciences', u'Physics']","[u'Heavy/Industrial Equipment Maintenance Technologies', u'Industrial Mechanics and Maintenance Technology']"
Industrial Mechanics and Maintenance Technology,"[u'Algebra', u'Boiler Operation', u'Die Making', u'English', u'Library Research Methods', u'Motor Winding', u'Psychology']","[u'Gunsmithing/Gunsmith', u'Locksmithing and Safe Repair', u'Musical Instrument Fabrication and Repair', u'Precision Systems Maintenance and Repair Technologies', u'Watchmaking and Jewelrymaking']"
Gunsmithing/Gunsmith,"[u'Gun Repair', u'Machine Tool Theory', u'Safety', u'Stockmaking', u'Welding']","[u'Industrial Mechanics and Maintenance Technology', u'Locksmithing and Safe Repair', u'Musical Instrument Fabrication and Repair', u'Precision Systems Maintenance and Repair Technologies', u'Watchmaking and Jewelrymaking']"
Locksmithing and Safe Repair,"[u'Computer Applications', u'Electronics', u'Management']","[u'Gunsmithing/Gunsmith', u'Industrial Mechanics and Maintenance Technology', u'Musical Instrument Fabrication and Repair', u'Precision Systems Maintenance and Repair Technologies', u'Watchmaking and Jewelrymaking']"
Musical Instrument Fabrication and Repair,[],"[u'Gunsmithing/Gunsmith', u'Industrial Mechanics and Maintenance Technology', u'Locksmithing and Safe Repair', u'Precision Systems Maintenance and Repair Technologies', u'Watchmaking and Jewelrymaking']"
Parts and Warehousing Operations and Maintenance Technology/Technician,[],"[u'Gunsmithing/Gunsmith', u'Locksmithing and Safe Repair', u'Musical Instrument Fabrication and Repair', u'Precision Systems Maintenance and Repair Technologies', u'Watchmaking and Jewelrymaking']"
Watchmaking and Jewelrymaking,[],"[u'Gunsmithing/Gunsmith', u'Industrial Mechanics and Maintenance Technology', u'Locksmithing and Safe Repair', u'Musical Instrument Fabrication and Repair', u'Precision Systems Maintenance and Repair Technologies']"
Aircraft Powerplant Technology/Technician,"[u'Drawing', u'Induction Systems', u'Mathematics', u'Physics']","[u'Airframe Mechanics and Aircraft Maintenance Technology/Technician', u'Automobile/Automotive Mechanics Technology/Technician', u'Avionics Maintenance Technology/Technician', u'Bicycle Mechanics and Repair Technology/Technician', u'Diesel Mechanics Technology/Technician', u'Small Engine Mechanics and Repair Technology/Technician']"
Airframe Mechanics and Aircraft Maintenance Technology/Technician,"[u'Applied Sciences', u'Computer Science', u'Engineering', u'Human Relations', u'Mathematics', u'Physics']","[u'Aircraft Powerplant Technology/Technician', u'Automobile/Automotive Mechanics Technology/Technician', u'Avionics Maintenance Technology/Technician', u'Bicycle Mechanics and Repair Technology/Technician', u'Diesel Mechanics Technology/Technician', u'Small Engine Mechanics and Repair Technology/Technician']"
Alternative Fuel Vehicle Technology/Technician,"[u'Applied Engineering', u'Chemistry', u'Mathematics']","[u'Engine Machinist', u'Marine Maintenance/Fitter and Ship Repair Technology/Technician', u'Medium/Heavy Vehicle and Truck Technology/Technician']"
