major,course,related
Balkans Studies,"[u'Economics', u'Government', u'History', u'Politics']","[u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Baltic Studies,"[u'Economics', u'Government', u'History', u'Politics']","[u'Balkans Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Canadian Studies,"[u'Economics', u'History', u'Politics', u'Society']","[u'Balkans Studies', u'Baltic Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Caribbean Studies,"[u'Foreign Language', u'History', u'Politics', u'Sociology']","[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Chinese Studies,"[u'Anthropology', u'Economics', u'History', u'Law', u'Politics', u'Sociology']","[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Commonwealth Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
Commonwealth Studies,"[u'Anthropology', u'Culture', u'Economics', u'History', u'Politics', u'Society']","[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'French Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
East Asian Studies,"[u'Economics', u'Foreign Language', u'History', u'Linguistics', u'Literature', u'Political Science']","[u'African Studies', u'American/United States Studies/Civilization', u'Architectural and Building Sciences/Technology', u'Area Studies', u'Area, Ethnic, Cultural, Gender, and Group Studies', u'Asian Studies/Civilization', u'Real Estate Development']"
European Studies/Civilization,"[u'Anthropology', u'English', u'Foreign Language', u'Philosophy', u'Political Science', u'Religion', u'Sociology']","[u'Latin American Studies', u'Russian, Central European, East European and Eurasian Studies']"
French Studies,"[u'Anthropology', u'Business Applications', u'Economics', u'Foreign Language', u'History', u'Linguistics', u'Literature', u'Sociology']","[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'German Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
German Studies,"[u'Anthropology', u'Economics', u'History', u'Linguistics', u'Literature', u'Political Science', u'Sociology']","[u'Balkans Studies', u'Baltic Studies', u'Canadian Studies', u'Caribbean Studies', u'Chinese Studies', u'Commonwealth Studies', u'French Studies', u'Irish Studies', u'Italian Studies', u'Japanese Studies', u'Korean Studies', u'Latin American and Caribbean Studies', u'Near and Middle Eastern Studies', u'Pacific Area/Pacific Rim Studies', u'Polish Studies', u'Regional Studies (US, Canadian, Foreign)', u'Russian Studies', u'Scandinavian Studies', u'Slavic Studies', u'South Asian Studies']"
